,day,hour,count
0,15,11,155662
1,15,12,368827
2,15,13,338100
3,15,14,338662
4,15,15,367275
5,15,16,356303
6,15,17,355030
7,15,18,367631
8,15,19,380720
9,15,20,389857
10,15,21,394771
11,15,22,289282
12,15,23,170655
13,16,0,107173
14,16,1,84870
15,16,2,76322
16,16,3,73715
17,16,4,102027
18,16,5,175801
19,16,6,259574
20,16,7,278550
21,16,8,300131
22,16,9,299332
23,16,10,297925
24,16,11,342407
25,16,12,350036
26,16,13,342678
27,16,14,331226
28,16,15,347817
29,16,16,344710
30,16,17,355675
31,16,18,338558
32,16,19,338161
33,16,20,337874
34,16,21,343548
35,16,22,270127
36,16,23,178754
37,17,0,114472
38,17,1,86579
39,17,2,73073
40,17,3,68588
41,17,4,89443
42,17,5,141412
43,17,6,224060
44,17,7,278053
45,17,8,276256
46,17,9,263288
47,17,10,257185
48,17,11,248746
49,17,12,243510
50,17,13,246014
51,17,14,249998
52,17,15,260818
53,17,16,263533
54,17,17,267601
55,17,18,261677
56,17,19,279757
57,17,20,293156
58,17,21,321849
59,17,22,285245
60,17,23,220291
61,18,0,169726
62,18,1,118260
63,18,2,90143
64,18,3,79082
65,18,4,92832
66,18,5,134429
67,18,6,219832
68,18,7,310517
69,18,8,344654
70,18,9,333755
71,18,10,303402
72,18,11,298576
73,18,12,297284
74,18,13,309111
75,18,14,342964
76,18,15,344853
77,18,16,348825
78,18,17,341203
79,18,18,357114
80,18,19,403559
81,18,20,425566
82,18,21,424343
83,18,22,307688
84,18,23,181099
85,19,0,125053
86,19,1,100416
87,19,2,89407
88,19,3,83880
89,19,4,113269
90,19,5,193212
91,19,6,276481
92,19,7,311491
93,19,8,328444
94,19,9,327652
95,19,10,345238
96,19,11,392320
97,19,12,413774
98,19,13,378635
99,19,14,385445
100,19,15,419853
101,19,16,471095
102,19,17,436770
103,19,18,418930
104,19,19,422420
105,19,20,427736
106,19,21,420979
107,19,22,289518
108,19,23,161623
109,20,0,104763
110,20,1,83419
111,20,2,75133
112,20,3,73581
113,20,4,110782
114,20,5,190027
115,20,6,280633
116,20,7,296471
117,20,8,311106
118,20,9,325246
119,20,10,346682
120,20,11,421462
121,20,12,436235
122,20,13,406227
123,20,14,404998
124,20,15,429664
125,20,16,432572
126,20,17,440923
127,20,18,445779
128,20,19,501650
129,20,20,470506
130,20,21,458248
131,20,22,320022
132,20,23,207664
133,21,0,136073
134,21,1,108884
135,21,2,99643
136,21,3,94366
137,21,4,124531
138,21,5,207285
139,21,6,295198
140,21,7,319591
141,21,8,351260
142,21,9,338195
143,21,10,344806
144,21,11,407213
145,21,12,432530
146,21,13,387609
147,21,14,383670
148,21,15,423970
149,21,16,426961
150,21,17,446237
151,21,18,433115
152,21,19,437270
153,21,20,438923
154,21,21,486300
155,21,22,333385
156,21,23,181109
